notes,Compound.Name,Dino-1314,Green-1545,Archaea-SCM1,Alpha-SA30,Alpha-SA42,Alpha-SA33,Beta-SA59,CFB-SA60,Alpha-SA16,Alpha-SA44,Alpha-SA36,Alpha-SA48,Alpha-SA53,Alpha-SA11,Alpha-DSS-3,Alpha-Och114,Syn-7803,Croco-8501,Syn-8102,Pro-MED4,Pro-1314,Pro-Natl2A,Pro-AS9601,Diatom-To,Hapto-2090,Diatom-Cm,Diatom-Tp,Hapto-371,Diatom-Np,Diatom-Pt,Diatom-Pc55x,Dino-449,Dino-1771,Dino-2021,Chryso-116,Chryso-Ca,Chryso-Cr,Chryso-Cs,Chryso-P3,Green-3430,Gamma-SA55,Gamma-SA7,Diatom-Tp10,Diatom-Tp28,Diatom-Tp35
QE-TQS mix,N-Acetyl-Lysine-HILIC,1,1,1,0,1,0.33,0,1,Blk,1,1,0.33,1,1,1,1,0,1,0.5,1,1,1,1,1,Blk,1,1,Blk,1,1,1,0,Blk,0,1,1,1,1,1,1,1,1,1,1,1
QE-TQS mix,Ornithine-HILIC,1,Blk,0,1,0.667,1,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Blk,1,0.33,1,1,Blk,1,1,Blk,0,0,1,0,1,0,0,1,Blk,1,1,1,1,1
QE-TQS mix,Phosphoglyceric Acid-HILIC,0,1,0.75,1,0,1,1,1,0,1,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.333333333,0.5,1,0,0,0,Blk,0,0,Blk,Blk,0,0,0,0,0,0
QE-TQS mix,Propionyl-L-carnitine-HILIC,Blk,Blk,0,0,0,0,Blk,0,0,0,Blk,0,Blk,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,Blk,0,1,1,1,1,0,1,1,1,1,0,0.33,0,1,1,1,0,0,0,0,1,1,1
QE-TQS mix,Proline Betaine-HILIC,1,0,1,1,1,1,0.33,0,0.667,1,0,0.33,0.667,0,0,0,Blk,1,Blk,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.667,0,0,1,1
QE-TQS mix,Sucrose-HILIC,Blk,0,Blk,0,0,0,0,Blk,0,0,Blk,0,Blk,0.33,Blk,Blk,1,0,0.5,1,1,1,1,0,0,1,1,0,1,1,1,0,Blk,0,Blk,Blk,Blk,Blk,Blk,Blk,0,0,0,Blk,0
QE-TQS mix,Trigonelline-HILIC,1,1,Blk,0,1,1,Blk,Blk,0,1,0.667,0,0,0.667,0.33,0,0,0,0,0,0,Blk,Blk,1,1,1,1,0,Blk,1,0,1,1,1,1,1,1,0,0,0,1,0.667,1,1,1
QE-TQS mix,Tryptophol-RP,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,0,Blk,Blk,0,Blk,0,Blk,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TQS,2iP-RP,0,0,Blk,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TQS,4-Hydroxybenzaldehyde-RP,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,Blk,Blk,Blk,Blk,Blk,Blk,1,1,Blk,Blk,1,Blk,0,Blk,Blk,0,Blk,Blk,Blk,Blk,0,0.5,0.666666667,0,0,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,1,Blk,Blk,Blk
TQS,Acetyl CoA-HILIC,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.333333333,0.5,1,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0
TQS,Aconitic Acid-HILIC,0,Blk,1,1,0.666666667,1,0.333333333,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,Blk,1,Blk,Blk,0,Blk,1,1,1,1,1
TQS,Adenine-HILIC,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
TQS,Adenosine-HILIC,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,0,0,0,1,1,0,0,1,0.666666667,0.5,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0
TQS,Adenosyl Homocysteine-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,Adenosyl Methionine-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,ADP-HILIC,0,1,1,1,Blk,1,1,1,0,0.5,0,1,0,0,0.666666667,0,1,1,1,1,1,1,1,1,1,1,1,0,0.666666667,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1
TQS,Amino Propanesulfonic Acid-HILIC,0,1,0,0,0,0,0,0,0,Blk,0,0,0,Blk,Blk,0,Blk,0,Blk,Blk,Blk,Blk,Blk,0,0,0,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,1,0,0,0,0,0
TQS,Aminobutyric Acid-HILIC,0,0,Blk,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,Blk,1,1,1,1,Blk,1,Blk,1,Blk,1,0.333333333,0,0,0
TQS,AMP-HILIC,1,1,1,1,0,1,1,1,1,0.5,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1
TQS,ATP-HILIC,0,1,1,1,0,1,0,0,0,0.5,0,1,0,0,0,0,0,Blk,0,0,0,0,0,1,1,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Betaine-HILIC,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1
TQS,cAMP-HILIC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Carotene-RP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.666666667,0,1,1,0,1,1,0,0,0,0,0.666666667,1,0,0,0,0.333333333,0,0,1,0,0
TQS,cGMP-HILIC,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
TQS,Chitobiose-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
TQS,Choline-HILIC,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Blk,1,1,1,1,1,1,1,1,1,1,1,Blk,0,1,1,Blk,0,0,0,1,1,1
TQS,Citric Acid-HILIC,1,Blk,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1
TQS,Coenzyme Q10-RP,0,0,0,0.333333333,0.333333333,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0
TQS,Cyclic diGMP-HILIC,0,0,0,0,1,0,Blk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TQS,Cystathionine-HILIC,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.666666667,1,1,1,0,1,1,1,1,1,0,1,0,0,0
TQS,Cysteic Acid-HILIC,0,0,0.666666667,1,1,1,1,1,1,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Blk,0,1,1,1,0,1,1,1,0,0,0
TQS,Cystine-HILIC,0,0,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,0,1,0,1,1,1,1,1,1,1,0.666666667,1,1,0,0,0,0,1,1,1,0,0,Blk,Blk,1,1,1
TQS,Cytidine-HILIC,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
TQS,Desthiobiotin-RP,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0
TQS,DHAP-HILIC,1,1,1,0,0,1,0,0,0,0.5,Blk,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0
TQS,DHPS-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
TQS,Dimethyl Glycine-RP,Blk,0,0,Blk,0,1,0,1,Blk,1,0,Blk,Blk,Blk,1,Blk,Blk,0,0,0,0,0,0,1,1,1,1,Blk,0.666666667,1,1,1,Blk,1,0,Blk,1,1,Blk,0,0,Blk,1,1,1
TQS,Dimethyl-Benzimidazole-RP,0,0,0,0,1,0,Blk,Blk,Blk,Blk,0,Blk,Blk,Blk,Blk,Blk,0,0,0,0,0,0,0,0,Blk,0,Blk,Blk,Blk,Blk,Blk,0,0,0,0,0,0,0,0,0,Blk,Blk,0,0,0
TQS,DMSP-HILIC,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333333333,0,0,0,0,0,1,1,1,1,1,Blk,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
TQS,Ectoine-HILIC,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
TQS,FAD-HILIC,1,1,1,1,1,1,1,1,1,0.5,0,1,0,0.666666667,1,0,1,1,1,1,0.333333333,1,0.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
TQS,Fructose-6-Phosphate-HILIC,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.666666667,1,1,1,1
TQS,Fumaric Acid-HILIC,1,1,0,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0
TQS,Gluconic Acid-HILIC,0,0,0,0,0,0,0,0,Blk,1,1,1,1,1,1,1,1,0,0,0,0,Blk,Blk,1,1,1,1,1,0,1,1,1,1,1,1,Blk,0,0,Blk,Blk,0.333333333,Blk,0,0,0
TQS,Glucose-6-Phosphate-HILIC,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0.666666667,1,0,1,0,1,0,0,1,1,0,0,0.666666667,1,1,1,1
TQS,Glucosylglycerol-HILIC,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
TQS,Glutathione-RP,1,1,Blk,1,1,1,1,Blk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,Glycerol-3-Phosphate-HILIC,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,Blk,Blk,Blk,0,Blk,1,1,1,1,1
TQS,GMP-HILIC,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0.333333333,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1
TQS,GTP-HILIC,0,0,0.333333333,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Guanine-HILIC,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.666666667,1,1,1,1
TQS,Guanosine-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,Hydroxybutyryl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Hydroxyectoine-HILIC,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,1,0,0,0,0,0,0,0
TQS,Hypotaurine-HILIC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,Blk,Blk,1,0,0,0,0,0,0,0
TQS,Indole-3-Acetic Acid-RP,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
TQS,Indole-3-Acetamide-RP,0,Blk,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,1,1,0,0,1,1,0,0,0
TQS,Indole-3-Lactic Acid-RP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Indole-3-Methyl Acetate-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TQS,Isethionic Acid-HILIC,0,1,Blk,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
TQS,Isocitric Acid-HILIC,1,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.333333333,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Ketoglutaric Acid-HILIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,Blk,0,Blk,0,Blk,1,1,1,1,1,1
TQS,Kinetin-RP,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
TQS,Kynurenine-RP,0,0,0,1,Blk,Blk,Blk,1,Blk,1,1,1,1,1,Blk,Blk,1,1,1,Blk,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,Blk,Blk,0,Blk,0
TQS,Malic Acid-HILIC,Blk,1,Blk,Blk,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Blk,0,Blk,1,Blk,1,0,0,1,1,1,0,0,0,Blk,1,1,1,Blk,1,1,1,0,0,0
TQS,Methyl Indole-3-Carboxylate-RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,0,0,1,0,0,0
TQS,Methyl Malonyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,Blk,0,0,0,0,0,0,0
TQS,Methylphosphonic Acid-HILIC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0
TQS,N-Acetyltaurine-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TQS,N-Methyltaurine-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TQS,NAD-HILIC,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.666666667,1,1,1,1
TQS,NADH-HILIC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
TQS,NADP-HILIC,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,Blk,0,0,0,0,0,0.666666667,0.666666667,1,1,1
TQS,Orotic Acid-HILIC,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,1,1
TQS,Oxalic Acid-HILIC,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Blk,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
TQS,p-Coumaric Acid-RP,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,PEP-HILIC,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0.666666667,0.666666667,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Blk,0.333333333,1,0,0,0
TQS,Picolinic Acid-HILIC,1,0,1,1,Blk,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
TQS,Propionyl CoA-HILIC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Ribose-5-Phosphate-HILIC,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0.666666667,1,0.666666667,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
TQS,Sarcosine-HILIC,0,0,1,0,0,0,Blk,Blk,Blk,0,Blk,Blk,Blk,0,0,0.333333333,1,Blk,1,0,Blk,Blk,Blk,1,Blk,1,1,0,Blk,1,Blk,Blk,Blk,0,0,0,Blk,1,0,1,0,0,Blk,1,1
TQS,Shikimic Acid-HILIC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Succinic Acid-HILIC,Blk,Blk,Blk,Blk,1,1,Blk,1,1,1,1,Blk,0,1,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,Blk,Blk,Blk,Blk,Blk,1,1,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,Blk,1,1,Blk,Blk,Blk
TQS,Succinyl CoA-HILIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,Sulfoacetic Acid-HILIC,Blk,0,Blk,Blk,0,Blk,0,0,0,0,0,Blk,0,Blk,0,0,0,0,0,1,Blk,0,Blk,Blk,Blk,Blk,Blk,0,Blk,0,Blk,0,0,0,Blk,Blk,Blk,Blk,Blk,Blk,Blk,0,0,0,0
TQS,Sulfolactic Acid-HILIC,Blk,0,0,0,0,0,0,1,0,0,0,0,0,0,Blk,0,0,1,0,0,0,0,0,1,0,1,Blk,0,1,1,1,0,Blk,Blk,Blk,1,1,1,0,0,0,0,0,0,0
TQS,Sulfurol-RP,Blk,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Blk,Blk,0,0,0,0,0,0,0,0,1,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,1,0,Blk,Blk,Blk
TQS,Taurine-HILIC,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
TQS,Thymidine-HILIC,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blk,0,Blk,0,0,1,1,0,Blk,0
TQS,Thymine-HILIC,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.5,0,0,0,0,Blk,1,1,1,1,Blk,1,1,1,1,1
TQS,trans-Hydroxylproline-HILIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
TQS,Trehalose-HILIC,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
TQS,Tryptamine-RP,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQS,UDP-Glucosamine-HILIC,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
TQS,UDP-Glucose-HILIC,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
TQS,Uracil-HILIC,0,0,0.666666667,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,Blk,Blk,Blk,Blk,Blk,0,0,Blk,0,0,0,0,Blk,Blk,1,0,Blk,Blk,Blk,Blk,0,0,1,0,Blk,0
TQS,Uridine-HILIC,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQS,Vitamin C-RP,0,0,0.333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0.666666667,1,0,0,0,1,Blk,0,0,0,0,0,0,0,0,0,0
TQS,Xanthine-RP,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,Blk,1,1,1,1,1,0.666666667,1,0,0,0